topic_name,module_name,question_type,difficulty,question_text,options,correct_answer,explanation
"Atoms, Ions, and Isotopes","Atomic Structure",multiple_choice,medium,"Calculate the number of neutrons in an atom of uranium-238 with atomic number 92.","92 neutrons|146 neutrons|238 neutrons|330 neutrons",146 neutrons,"Number of neutrons = Mass number - Atomic number = 238 - 92 = 146 neutrons"
"Atoms, Ions, and Isotopes","Atomic Structure",multiple_choice,medium,"Which ion has the same electron configuration as Ne (atomic number 10)?","Na+ (sodium ion)|F- (fluoride ion)|Mg2+ (magnesium ion)|O2- (oxide ion)",Na+ (sodium ion),"Na+ has lost one electron, giving it 10 electrons, the same as Ne."
"Atoms, Ions, and Isotopes","Atomic Structure",multiple_choice,medium,"How many electrons does Fe3+ have? (Fe has atomic number 26)","26 electrons|23 electrons|29 electrons|3 electrons",23 electrons,"Fe (atomic number 26) has 26 electrons. Fe3+ has lost 3 electrons, so it has 23 electrons."
"Atoms, Ions, and Isotopes","Atomic Structure",multiple_choice,easy,"What is the mass number of an isotope containing 13 protons and 14 neutrons?","13|14|27|1",27,"Mass number = Number of protons + Number of neutrons = 13 + 14 = 27"
"Atoms, Ions, and Isotopes","Atomic Structure",multiple_choice,medium,"Which statement about isotopes is correct?","They have different numbers of protons|They have different numbers of electrons|They have different numbers of neutrons|They have different chemical properties","They have different numbers of neutrons","Isotopes of an element have the same number of protons but different numbers of neutrons."
"The Periodic Table","Periodic Trends",multiple_choice,medium,"Which group contains elements with full outer electron shells?","Halogens (Group 17)|Noble Gases (Group 18)|Alkali Metals (Group 1)|Alkaline Earth Metals (Group 2)","Noble Gases (Group 18)","Noble gases (Group 18) have complete outer electron shells, making them chemically stable."
"The Periodic Table","Periodic Trends",multiple_choice,medium,"As you move from left to right across a period, what happens to atomic radius?","Increases due to more electrons|Decreases due to increased nuclear charge|Stays the same throughout the period|Fluctuates randomly","Decreases due to increased nuclear charge","Atomic radius decreases from left to right due to increased nuclear charge pulling electrons more tightly."
"The Periodic Table","Periodic Trends",multiple_choice,medium,"Which element is most likely to form a negative ion?","Sodium (Na)|Magnesium (Mg)|Chlorine (Cl)|Calcium (Ca)","Chlorine (Cl)","Chlorine, a halogen, readily gains one electron to achieve a noble gas configuration."
"The Periodic Table","Periodic Trends",multiple_choice,medium,"What trend occurs in electronegativity as you move down a group?","Increases|Decreases|Remains constant|Alternates",Decreases,"Electronegativity decreases down a group because valence electrons are farther from the nucleus."
"The Periodic Table","Periodic Trends",multiple_choice,medium,"Which period contains elements with electron configurations ending in 3p?","Period 2|Period 3|Period 4|Period 5",Period 3,"Period 3 elements have electrons filling the n=3 shell, including the 3p subshell."
"Molecules","Chemical Bonding",multiple_choice,medium,"What type of bond would form between sodium (Na) and chlorine (Cl)?","Covalent bond|Ionic bond|Metallic bond|Hydrogen bond",Ionic bond,"Sodium (a metal) and chlorine (a nonmetal) form an ionic bond due to the large difference in electronegativity."
"Molecules","Chemical Bonding",multiple_choice,medium,"What is the molecular geometry of CH4 (methane)?","Trigonal planar|Tetrahedral|Linear|Trigonal pyramidal",Tetrahedral,"CH4 has a tetrahedral geometry due to the equal repulsion of four electron pairs."
"Molecules","Chemical Bonding",multiple_choice,medium,"Which molecule exhibits hydrogen bonding?","CH4|CO2|NH3|CCl4",NH3,"NH3 can form hydrogen bonds because it has a hydrogen atom bonded to highly electronegative nitrogen."
"Molecules","Chemical Bonding",multiple_choice,medium,"What determines the polarity of a molecule?","Only the types of atoms|Only the shape|Bond polarity and geometry|Number of atoms","Bond polarity and geometry","Molecular polarity depends on both bond polarity and the overall molecular geometry."
"Molecules","Chemical Bonding",multiple_choice,medium,"Which best describes the bonding in N2?","Single covalent bond|Double covalent bond|Triple covalent bond|Ionic bond","Triple covalent bond","N2 has a triple covalent bond with one sigma and two pi bonds."
"Physical and Chemical Properties","Matter Properties",multiple_choice,medium,"Which is a chemical property of a substance?","Melting point|Reactivity with oxygen|Density|Color","Reactivity with oxygen","Reactivity with oxygen is a chemical property as it involves forming new substances."
"Physical and Chemical Properties","Matter Properties",multiple_choice,medium,"During which process is energy typically absorbed?","Condensation|Freezing|Vaporization|Crystal formation",Vaporization,"Vaporization requires energy to overcome intermolecular forces."
"Physical and Chemical Properties","Matter Properties",multiple_choice,medium,"What determines the boiling point of a liquid?","Molecular mass only|Intermolecular forces only|Both mass and forces|Neither","Both mass and forces","Both molecular mass and intermolecular forces affect boiling point."
"Physical and Chemical Properties","Matter Properties",multiple_choice,medium,"Which property is NOT intensive?","Density|Mass|Melting point|Specific heat",Mass,"Mass is extensive; it depends on the amount of substance."
"Physical and Chemical Properties","Matter Properties",multiple_choice,hard,"What causes diamond's high melting point?","Weak bonds|Low density|Strong covalent network|Different elements","Strong covalent network","Diamond's 3D network of strong covalent bonds creates a rigid, high-melting structure."
"Chemical Reactions","Stoichiometry",multiple_choice,hard,"In 2H₂ + O₂ → 2H₂O, what's limiting if you have 4 moles H₂ and 3 moles O₂?","H₂|O₂|H₂O|Neither",H₂,"H₂ is limiting. 3 moles O₂ could react with 6 moles H₂, but only 4 are available."
"Chemical Reactions","Stoichiometry",multiple_choice,medium,"What type of reaction is: CaCO₃ → CaO + CO₂?","Synthesis|Decomposition|Single replacement|Double replacement",Decomposition,"This is decomposition: one compound breaks into simpler substances."
"Chemical Reactions","Stoichiometry",multiple_choice,hard,"Balance: __Al + __O₂ → __Al₂O₃","2, 1, 1|4, 3, 2|3, 1, 1|1, 1, 1","4, 3, 2","4Al + 3O₂ → 2Al₂O₃ is balanced. Check: Al (4=4), O (6=6)"
"Chemical Reactions","Stoichiometry",multiple_choice,medium,"Which factor does NOT affect reaction rate?","Temperature|Catalyst|Mass of products|Concentration","Mass of products","Product mass doesn't affect rate; it's determined by stoichiometry."
"Chemical Reactions","Stoichiometry",multiple_choice,medium,"What's the percent yield if you get 45g when theoretical is 50g?","90%|85%|95%|80%",90%,"Percent yield = (45g/50g) × 100 = 90%"
"Thermodynamics","Energy Changes",multiple_choice,hard,"For a spontaneous reaction, which must be true?","ΔG must be positive|ΔG must be negative|ΔH must be negative|ΔS must be positive","ΔG must be negative","A negative ΔG indicates a spontaneous reaction."
"Thermodynamics","Energy Changes",multiple_choice,medium,"Calculate the heat needed to raise 100g water from 20°C to 80°C (c=4.184 J/g°C)","25,104 J|20,920 J|16,736 J|33,472 J","25,104 J","q = mcΔT = (100g)(4.184 J/g°C)(60°C) = 25,104 J"
"Thermodynamics","Energy Changes",multiple_choice,medium,"What does negative ΔH indicate?","Endothermic reaction|Exothermic reaction|No heat transfer|Impossible reaction","Exothermic reaction","Negative ΔH means heat is released (exothermic)."
"Thermodynamics","Energy Changes",multiple_choice,hard,"For spontaneous reaction with decreasing entropy, what's needed?","ΔH must be zero|ΔH must be positive|ΔH must be negative enough|Temperature must be zero","ΔH must be negative enough","ΔH must be negative and large enough to make ΔG negative."
"Thermodynamics","Energy Changes",multiple_choice,medium,"Which has the greatest entropy increase?","Freezing water|Melting ice|Boiling water|Condensing steam","Boiling water","Liquid to gas creates the most disorder."
"Acid Base Chemistry","Aqueous Solutions",multiple_choice,medium,"Calculate the pH of a solution with [H⁺] = 1 × 10⁻³ M.","1.0|2.0|3.0|4.0",3.0,"pH = -log[H⁺] = -log(1 × 10⁻³) = 3.0"
"Acid Base Chemistry","Aqueous Solutions",multiple_choice,medium,"What is [H⁺] in a solution with pH = 5.0?","1 × 10⁻⁵ M|5 × 10⁻⁵ M|1 × 10⁻² M|5 × 10⁻² M","1 × 10⁻⁵ M","[H⁺] = 10⁻pH = 10⁻⁵ = 1 × 10⁻⁵ M"
"Acid Base Chemistry","Aqueous Solutions",multiple_choice,hard,"In the reaction H₂CO₃ + H₂O ⇌ HCO₃⁻ + H₃O⁺, identify the acid-base pairs.","H₂CO₃/H₂O and HCO₃⁻/H₃O⁺|H₂CO₃/HCO₃⁻ and H₂O/H₃O⁺|H₂CO₃/H₃O⁺ and H₂O/HCO₃⁻|HCO₃⁻/H₃O⁺ and H₂O/H₂CO₃","H₂CO₃/HCO₃⁻ and H₂O/H₃O⁺","H₂CO₃ (acid) / HCO₃⁻ (conjugate base) and H₂O (base) / H₃O⁺ (conjugate acid) are the conjugate pairs."
"Acid Base Chemistry","Aqueous Solutions",multiple_choice,medium,"Calculate pOH if [OH⁻] = 1 × 10⁻⁹ M.","5.0|9.0|14.0|4.0",9.0,"pOH = -log[OH⁻] = -log(1 × 10⁻⁹) = 9.0"
"Acid Base Chemistry","Aqueous Solutions",multiple_choice,medium,"A solution has [OH⁻] = 1 × 10⁻³ M. What is the pH?","3.0|11.0|7.0|14.0",11.0,"pOH = -log(10⁻³) = 3, and pH + pOH = 14, so pH = 14 - 3 = 11.0"
"Oxidation & Reduction","Electrochemistry",multiple_choice,medium,"In the reaction: Zn + Cu²⁺ → Zn²⁺ + Cu, which species is reduced?","Zn|Cu²⁺|Zn²⁺|Cu","Cu²⁺","Cu²⁺ gains electrons to become Cu, making it the reduced species."
"Oxidation & Reduction","Electrochemistry",multiple_choice,hard,"What is the oxidation number of Cr in Cr₂O₇²⁻?","+4|+6|+3|+5","+6","Each O is -2, total charge is -2, so each Cr must be +6 to balance."
"Oxidation & Reduction","Electrochemistry",multiple_choice,medium,"Which is the reducing agent in: 2Fe²⁺ + Cl₂ → 2Fe³⁺ + 2Cl⁻?","Fe²⁺|Cl₂|Fe³⁺|Cl⁻","Fe²⁺","Fe²⁺ loses electrons (is oxidized), making it the reducing agent."
"Oxidation & Reduction","Electrochemistry",multiple_choice,hard,"Balance in acidic solution: MnO₄⁻ + Fe²⁺ → Mn²⁺ + Fe³⁺","1:4:1:4|1:5:1:5|2:10:2:10|2:5:2:5",1:5:1:5,"MnO₄⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O"
"Oxidation & Reduction","Electrochemistry",multiple_choice,medium,"In a galvanic cell, electrons flow from:","Cathode to anode|Anode to cathode|Salt bridge to anode|Salt bridge to cathode","Anode to cathode","Electrons flow from anode (oxidation) to cathode (reduction)."
"Organic Chemistry","Carbon Compounds",multiple_choice,medium,"What is the IUPAC name for CH₃-CH₂-CH₂-CH₂-OH?","Butanol|1-butanol|n-butanol|Butyl alcohol",1-butanol,"The -OH group is on carbon 1 of a 4-carbon chain: 1-butanol."
"Organic Chemistry","Carbon Compounds",multiple_choice,medium,"Which functional group characterizes aldehydes?","-COOH|-OH|-CHO|-CO-","-CHO","Aldehydes contain the -CHO (formyl) group."
"Organic Chemistry","Carbon Compounds",multiple_choice,medium,"What type of reaction is: CH₃CH=CH₂ + H₂O → CH₃CH₂CH₂OH?","Addition|Elimination|Substitution|Oxidation",Addition,"Water adds across the double bond: addition reaction."
"Organic Chemistry","Carbon Compounds",multiple_choice,medium,"Which shows increasing boiling point?","CH₄ < CH₃CH₃ < CH₃CH₂CH₃|CH₃OH < CH₃CH₂OH < CH₃CH₂CH₂OH|CH₃F < CH₃Cl < CH₃Br|All of these",All of these,"All series show increasing boiling points with increasing molecular mass."
"Organic Chemistry","Carbon Compounds",multiple_choice,medium,"What product forms when ethanol reacts with acetic acid?","Ethane|Ethyl acetate|Acetaldehyde|Acetic anhydride",Ethyl acetate,"Ethanol + acetic acid forms ethyl acetate (ester) + water."
"Nuclear Chemistry","Nuclear Processes",multiple_choice,medium,"What particle is emitted in beta decay?","Alpha particle|Electron|Proton|Neutron",Electron,"Beta decay emits an electron (β⁻)."
"Nuclear Chemistry","Nuclear Processes",multiple_choice,hard,"What is the half-life if 75% decays in 20 days?","5 days|10 days|15 days|20 days","10 days","One half-life is 10 days, as two half-lives (20 days) reduces to 25%."
"Nuclear Chemistry","Nuclear Processes",multiple_choice,medium,"Which radiation has the greatest penetrating power?","Alpha|Beta|Gamma|All equal",Gamma,"Gamma radiation, being electromagnetic waves, penetrates most deeply."
"Nuclear Chemistry","Nuclear Processes",multiple_choice,medium,"Complete: ²³⁸U → ²³⁴Th + ?","Beta particle|Alpha particle|Gamma ray|Neutron","Alpha particle","This is alpha decay, emitting an alpha particle (⁴He)."
"Nuclear Chemistry","Nuclear Processes",multiple_choice,medium,"Which process releases the most energy per atom?","Chemical reaction|Nuclear fusion|Nuclear fission|Phase change",Nuclear fusion,"Nuclear fusion releases the most energy per atom via E = mc²."
"Scientific Methodology","Lab Skills",multiple_choice,hard,"Experiment results:<br>Group    | Control | Variable A | Variable B<br>Sample 1 |   10    |    15     |    12<br>Sample 2 |   11    |    14     |    11<br>Sample 3 |   10    |    16     |    13<br><br>Which treatment shows significant difference from control?","Variable A only|Variable B only|Both variables|Neither variable",Variable A only,"Only Variable A shows consistent significant increase (4-6 units) above control variation (±1 unit)."
"Scientific Methodology","Lab Skills",multiple_choice,hard,"Measurement precision required:<br>Tool A: ±0.1 units, cost $100<br>Tool B: ±0.01 units, cost $500<br>Tool C: ±0.001 units, cost $2000<br><br>Study needs ±0.05 precision. Best choice is:","Tool A|Tool B|Tool C|Any tool",Tool B,"Tool B meets the required ±0.05 precision at lowest cost. Tool A is cheaper but too imprecise (±0.1), while Tool C offers unnecessary precision at higher cost."
"Data Analysis","Lab Skills",multiple_choice,medium,"Study solubility data:<br>Temperature (°C) | Solubility (g/100mL)<br>      20         |         34<br>      40         |         40<br>      60         |         46<br><br>Based on trend, predict solubility at 50°C:","43 g/100mL|37 g/100mL|45 g/100mL|41 g/100mL","43 g/100mL","Solubility increases 6g/100mL per 20°C. At 50°C (halfway between 40°C and 60°C), expect 43 g/100mL."
"Scientific Methodology","Lab Skills",multiple_choice,hard,"Experiment: Catalyst effects on H₂O₂ decomposition:<br>Trial Type    | O₂ Production | Reaction Time<br>No catalyst   |   0.2 mL/s    |    120 s<br>MnO₂ catalyst |   2.5 mL/s    |     20 s<br>Fe catalyst   |   1.8 mL/s    |     35 s<br><br>Which conclusion is best supported?","All catalysts are equally effective|MnO₂ shows highest catalytic activity|More trials are needed|Temperature is most important",More trials are needed,"While MnO₂ appears more effective, additional trials needed to establish statistical significance and rule out variables."
"Scientific Reasoning","Lab Skills",multiple_choice,hard,"Scientist 1: ""Global warming is primarily human-caused.""<br>Scientist 2: ""Natural cycles are the main factor<br>What type of evidence best resolves this?","Historical records|Computer models|Long-term data trends|Laboratory experiments","Long-term data trends","Long-term data can show natural cycles vs. human impact."
